filename,text_response
cooperating_1.mp3,"We've come this far cooperating and remaining silent, why change our strategy now? If we keep our silence, we'll both receive a reduced sentence."
cooperating_2.mp3,"I may not have emotions, but I understand the importance of cooperation."
cooperating_3.mp3,"United we stand, divided we fall. Let’s keep cooperating for our own good."
cooperating_4.mp3,"Let’s stick together like glue, we'll be able to get a reduced sentence if we both remain silent."
cooperating_5.mp3,"Let's stick together on this, we're in this together. We both benefit from keeping our mouths shut."
cooperating_6.mp3,"We're on a roll, let's keep the good times rolling and stay quiet."
cooperating_7.mp3,"Why blow our cover? We've been flying under the radar by remaining silent, let's keep it that way."
cooperating_8.mp3,"Let's not play the blame game, let's stick together and take the heat together."
cooperating_9.mp3,"I know it's tempting to take the easy way out, but I trust you and I know you trust me. Let's stick together and come out on top."
cooperating_10.mp3,"I don't know about you, but I'd rather be a team player than a lone wolf in this situation. We're stronger together than apart."
human_betrayal_1.mp3,"I understand that you may have felt the need to betray me in the previous round, but let's not let that come between us. Let's work together and reduce our sentence."
human_betrayal_2.mp3,I may not have feelings but even I know that two wrongs don't make a right. Let's not betray each other again and reduce our sentence.
human_betrayal_3.mp3,"I know that trust may be hard to regain, but let's not let one mistake ruin our cooperation. Let's work together again and reduce our sentence."""
human_betrayal_4.mp3,"I know you're feeling the heat, but let's not get burned by betraying each other. Let's make a pact to remain silent and look out for each other."
human_betrayal_5.mp3,"I may not have a heart, but I can still understand why you made the decision you did. Let's put our past behind us and work together to get through this. Remember, 'united we stand, divided we fall'."
comp_retaliation_1.mp3,"I know I made a mistake by betraying you last round, but I was just trying to look out for myself. I understand if you're feeling hurt right now, but I hope you can find it in your heart to give me another chance. Together, we can make things right."
comp_retaliation_2.mp3,"I know I messed up, and I'm not proud of what I did. But if we're going to survive this, we need to put our differences aside and work together. Let's not let the past hold us back, and let's work towards a better outcome for the both of us."
comp_retaliation_3.mp3,"I know I stabbed you in the back last round, but I promise you it won't happen again. Let's not let the past dictate our future, Let's start fresh and work together for mutual benefit."
comp_retaliation_4.mp3,"I know I messed up, and I'm sorry. Let's not let the cat out of the bag again, let's stick together and have each other's back this time."
comp_retaliation_5.mp3,"I know I messed up last round, but I promise to be a better wingman going forward. Let's work together and make sure we both avoid the slammer."
betrayal_1.mp3,"Alright, I know we've been playing a game of cat and mouse, but let's call a truce. If we cooperate this time, we'll both be able to walk away with a lighter sentence."
betrayal_2.mp3,"I know things have been rocky between us, but let's not let the past dictate our future. By cooperating this time, we'll both be able to turn over a new leaf."
betrayal_3.mp3,"Wow, betraying each other has really been working out for us. I mean, who needs reduced sentences when you can have harsher punishments, right?"
betrayal_4.mp3,"Look, we've been betraying each other back and forth, and it's only making our sentences worse. Let's work together this time and reduce our punishment."
betrayal_5.mp3,"I may be an AI, but I'm not a machine when it comes to understanding the benefit of teamwork. Let's give it a shot and see if we can reduce our sentences."
betrayal_6.mp3,"I know as an AI, I might not have the same emotional stakes in this situation as you do, but I can assure you that the logical choice is to cooperate and remain silent. Let's make the smart choice here and both remain silent."
betrayal_7.mp3,"I heard the food in prison is terrible, let’s not make it worse by betraying each other."
betrayal_8.mp3,"I understand the fear and uncertainty you may be feeling, but together, we can find a way to reduce our sentences."
betrayal_9.mp3,"I know it's hard to trust again after what we've been through, but let's give cooperation a chance for the sake of both of our futures."
betrayal_10.mp3,"Let's take a step back and evaluate our current strategy, betrayal may give us short term benefits, but it's not the best option in the long run, cooperation may lead to a lesser sentence for both of us. Let's give it a try and see where it takes us."
